Mogs	chr6	+	83115505	83118723
Mpnd	chr17	+	56009200	56016790
Mras	chr9	-	99388087	99436712
Mrps21	chr3	-	95861099	95870619
Mtmr12	chr15	+	12205093	12270191
Mus81	chr19	-	5482836	5488336
Mycbp	chr4	+	123905012	123911187
Myh9	chr15	-	77761349	77842175
Myo10	chr15	+	25622549	25812811
Naa15	chr3	+	51416015	51472839
Naa35	chr13	+	59585332	59634690
Nab2	chr10	-	127661124	127666703
Nid1	chr13	+	13437601	13511279
Nipbl	chr15	-	8290995	8444463
Nrm	chr17	+	35861317	35864960
Nup155	chr15	+	8109312	8157789
Nup50	chr15	+	84923427	84940065
Nupl1	chr14	-	60219812	60251378
Oaz3	chr3	-	94433387	94436651
Opa3	chr7	+	19228388	19245476
Pcbp1	chr6	-	86524727	86526165
Pdcl	chr2	-	37351665	37359332
Pde5a	chr3	+	122729157	122859086
Pde6d	chr1	-	86543041	86582501
Pex11g	chr8	-	3458816	3467648
Pex16	chr2	+	92375238	92381217
Pfn1	chr11	-	70652104	70654650
Phf12	chr11	+	77982815	78029782
Piezo1	chr8	-	122481908	122551329
Pigv	chr4	-	133662251	133672647
Pip4k2a	chr2	-	18844083	18998121
Pitx2	chr3	+	129199877	129219551
Pknox1	chr17	+	31564772	31605037
Pold2	chr11	-	5872188	5878256
Polg	chr7	-	79449708	79466273
Polr3gl	chr3	-	96577872	96594181
Ppp3cb	chr14	-	20500647	20546573
Ppp4r3b	chr11	+	29172906	29218924
Prkrip1	chr5	-	136181135	136198954
Ptgdr2	chr19	+	10937159	10942499
Ptgs2	chr1	+	150100030	150105992
Ptma	chr1	+	86526735	86530592
Ptpn12	chr5	-	20986828	21055797
Purb	chr11	-	6474785	6476076
Qrich1	chr9	+	108517086	108559581
Qser1	chr2	-	104758045	104816696
Rab11b	chr17	-	33746685	33760486
Ran	chr5	+	129020155	129023048
Rb1cc1	chr1	+	6214661	6274287
Rbm12b1	chr4	+	12140116	12146598
Rbm15	chr3	-	107326089	107333289
Rbm20	chr19	+	53677305	53867083
Rbm26	chr14	-	105115070	105177327
Rbm27	chr18	+	42275352	42338837
Rev3l	chr10	+	39732159	39874389
Rfc5	chr5	-	117379645	117389023
Rfx1	chr8	+	84066835	84096459
Rhobtb3	chr13	-	75872243	75943824
Ric1	chr19	+	29522281	29604887
Rnaseh2c	chr19	+	5601872	5602870
Rnf125	chr18	+	20944624	20983292
Rnf185	chr11	-	3415982	3452956
Rnpep	chr1	-	135262712	135284084
Rnpepl1	chr1	+	92910824	92920573
Rnps1	chr17	+	24414674	24425902
Rpf1	chr3	-	146506446	146521423
Rps2	chr17	+	24720062	24721957
Rps29	chr12	-	69157721	69159186
Rragc	chr4	+	123917432	123936465
Rsbn1l	chr5	-	20895951	20951822
Sacm1l	chr9	+	123529881	123591186
Sav1	chr12	-	69966079	69987002
Scaf8	chr17	+	3114971	3198364
Scyl1	chr19	-	5758454	5771401
Selenoi	chr5	+	30232580	30267154
Setd1a	chr7	+	127777388	127800122
Setd1b	chr5	+	123142192	123166251
Sft2d3	chr18	-	31910140	31911903
Shc2	chr10	-	79619502	79637918
Siah1a	chr8	-	86724854	86746006
Slc20a1	chr2	+	129198772	129211128
Slc22a4	chr11	-	53983126	54028104
Slc23a1	chr18	-	35615273	35627227
Slc4a7	chr14	+	14703024	14796424
Smad3	chr9	-	63650152	63757994
Smurf1	chr5	-	144876563	144965830
Snx13	chr12	+	35047188	35144472
Spata2l	chr8	-	123232255	123236209
Spry1	chr3	+	37639946	37644403
Sptan1	chr2	+	29965559	30031306
Srf	chr17	-	46548354	46556162
Srrm2	chr17	+	23803186	23824376
Srsf1	chr11	+	88047372	88049685
Srsf3	chr17	+	29032659	29041498
Ssbp2	chr13	+	91461096	91701245
Stag1	chr9	+	100643622	100956939
Stambp	chr6	-	83543263	83572504
Stk11	chr10	+	80115802	80130470
Stk35	chr2	+	129800516	129828062
Sun2	chr15	-	79724096	79742536
Sync	chr4	+	129287620	129308497
Synpo2l	chr14	-	20658945	20668354
Tada2a	chr11	-	84079413	84129568
Tbc1d22a	chr15	+	86214458	86497343
Tbx18	chr9	-	87702798	87731260
Tes	chr6	+	17065148	17104863
Thbd	chr2	-	148404474	148408188
Thbs1	chr2	+	118111875	118125252
Tinf2	chr14	-	55679282	55681817
Tle1	chr4	-	72117909	72200893
Tm9sf2	chr14	+	122107081	122158770
Tmcc3	chr10	+	94514856	94588117
Tmem147	chr7	-	30727775	30729534
Tmem238	chr7	-	4785172	4789560
Tmem259	chr10	-	79977162	79984330
Tnk1	chr11	-	69851019	69858730
Tns3	chr11	-	8433803	8664535
Tpbgl	chr7	-	99624082	99627103
Tprgl	chr4	-	154158263	154160684
Trim41	chr11	-	48806812	48817391
Trio	chr15	-	27732179	28025848
Trip11	chr12	-	101837389	101913171
Tspan31	chr10	-	127067794	127070261
Ttc17	chr2	-	94300769	94406689
Tubb2b	chr13	-	34127265	34130354
Txnip	chr3	+	96557956	96561866
Ubald1	chr16	-	4875111	4879851
Ube2g1	chr11	+	72607260	72683654
Ube2j1	chr4	+	33031424	33050029
Ubxn8	chr8	-	33621334	33641976
Uhrf2	chr19	+	30030512	30093390
Usp27x	chrX	-	7373022	7375830
Vim	chr2	+	13574310	13582517
Vsig10	chr5	+	117319265	117355005
Vsig10l	chr7	+	43463232	43471632
Wapl	chr14	+	34673927	34745965
Wrb	chr16	+	96145418	96156502
Zbtb2	chr10	-	4368181	4388108
Zbtb5	chr4	-	44993113	45012412
Zbtb7b	chr3	-	89379154	89393203
Zc3h4	chr7	+	16401195	16435694
Zc3h7a	chr16	-	11136888	11176393
Zdhhc7	chr8	-	120081884	120101472
Zfhx3	chr8	+	108714643	108957157
Zfhx4	chr3	+	5218553	5414511
Zfp292	chr4	-	34804468	34882948
Zfp462	chr4	+	54947944	55081074
Zfp507	chr7	-	35775764	35802989
Zfp553	chr7	+	127233442	127238041
Zfp579	chr7	-	4992852	4996101
Zfp592	chr7	+	80993683	81041945
Zfp608	chr18	-	54888625	54990180
Zfp703	chr8	+	26977335	26980289
Zkscan17	chr11	-	59486934	59506640
Zmym4	chr4	-	126863622	126967923
